entry ,species,chemical,light,tissue,mass,log.mass
476,S.scheelei,none,open,root.shoot,0.75,0.559615788
477,M.maximus,none,open,below,64,4.17438727
478,M.maximus,none,open,above,181,5.204006687
479,M.maximus,none,open,total,245,5.505331536
480,M.maximus,none,open,root.shoot,0.35359116,0.302761179
481,X.texanum,crude,shade,below,NA,NA
482,X.texanum,crude,shade,above,NA,NA
483,X.texanum,crude,shade,total,NA,NA
484,X.texanum,crude,shade,root.shoot,NA,NA
485,C.fasciculata,crude,shade,below,1.5,0.916290732
486,C.fasciculata,crude,shade,above,9.9,2.388762789
487,C.fasciculata,crude,shade,total,11.4,2.517696473
488,C.fasciculata,crude,shade,root.shoot,0.151515152,0.141078599
489,S.scheelei,crude,shade,below,2,1.098612289
490,S.scheelei,crude,shade,above,1.3,0.832909123
491,S.scheelei,crude,shade,total,3.3,1.458615023
492,S.scheelei,crude,shade,root.shoot,1.538461538,0.931558204
493,M.maximus,crude,shade,below,2.9,1.360976553
494,M.maximus,crude,shade,above,5.5,1.871802177
495,M.maximus,crude,shade,total,8.4,2.240709689
496,M.maximus,crude,shade,root.shoot,0.527272727,0.423483613
497,X.texanum,standard,shade,below,0.6,0.470003629
498,X.texanum,standard,shade,above,1.4,0.875468737
499,X.texanum,standard,shade,total,2,1.098612289
500,X.texanum,standard,shade,root.shoot,0.428571429,0.356674944
501,C.fasciculata,standard,shade,below,1.5,0.916290732
502,C.fasciculata,standard,shade,above,6.7,2.041220329
503,C.fasciculata,standard,shade,total,8.2,2.219203484
504,C.fasciculata,standard,shade,root.shoot,0.223880597,0.202026628
505,S.scheelei,standard,shade,below,1.6,0.955511445
506,S.scheelei,standard,shade,above,2.4,1.223775432
507,S.scheelei,standard,shade,total,4,1.609437912
508,S.scheelei,standard,shade,root.shoot,0.666666667,0.510825624
509,M.maximus,standard,shade,below,0.9,0.641853886
510,M.maximus,standard,shade,above,2.8,1.335001067
511,M.maximus,standard,shade,total,3.7,1.547562509
512,M.maximus,standard,shade,root.shoot,0.321428571,0.278713402
513,X.texanum,none,shade,below,1,0.693147181
514,X.texanum,none,shade,above,1.7,0.993251773
515,X.texanum,none,shade,total,2.7,1.30833282
516,X.texanum,none,shade,root.shoot,0.588235294,0.462623522
517,C.fasciculata,none,shade,below,1.8,1.029619417
518,C.fasciculata,none,shade,above,14.9,2.766319109
519,C.fasciculata,none,shade,total,16.7,2.87356464
520,C.fasciculata,none,shade,root.shoot,0.120805369,0.114047506
521,S.scheelei,none,shade,below,2,1.098612289
522,S.scheelei,none,shade,above,1.8,1.029619417
523,S.scheelei,none,shade,total,3.8,1.568615918
524,S.scheelei,none,shade,root.shoot,1.111111111,0.747214402
525,M.maximus,none,shade,below,0.5,0.405465108
526,M.maximus,none,shade,above,2,1.098612289
